ens,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000205362,3.62818876109419,1.91739143298541,0.251872804266311,2.31915832042243e-15,4.06164678944016e-15
ENSG00000134049,77.8635033221602,-0.483770523604778,0.0611493761401569,2.32693215328933e-15,4.07483980283724e-15
ENSG00000183386,60.3929224524791,0.626839686321136,0.0798330822648122,2.34713280104675e-15,4.10978922591726e-15
ENSG00000197183,121.868609880876,0.768265518595728,0.0972585024419082,2.36817090539446e-15,4.14619763875052e-15
ENSG00000077254,119.288840034905,-0.511659248883214,0.0645304968182338,2.44241606502045e-15,4.27574388709879e-15
ENSG00000177732,196.086237370955,0.604671234975186,0.0770235585158984,2.46708510617519e-15,4.31848334078137e-15
ENSG00000197451,302.403588440332,-0.428883315163909,0.0542420312887358,2.47269950357715e-15,4.32786340207272e-15
ENSG00000102349,15.6174728436761,-0.79727974829512,0.101088309372693,2.47486038713412e-15,4.33119760647761e-15
ENSG00000102572,293.079149774314,-0.551396313496813,0.0698873334257832,2.5078669433259e-15,4.3885078593663e-15
ENSG00000185862,34.1740209698202,1.23284051514313,0.157999526621723,2.51090070253637e-15,4.39336238916863e-15
ENSG00000087303,30.3526136155891,1.52168267361957,0.195599688483533,2.53500870194552e-15,4.43508603270912e-15
ENSG00000080608,54.8378616208092,-0.649943767395575,0.0823726377801952,2.53855539225574e-15,4.4408320427833e-15
ENSG00000263272,11.3039692514452,-0.919818838782127,0.116722859900796,2.55161043396088e-15,4.4632086187255e-15
ENSG00000275066,193.853491977095,0.412479002292058,0.0521720219603979,2.5537866495103e-15,4.46655358509474e-15
ENSG00000196704,122.433029072942,-0.426209123818131,0.05400295728314,2.57996149442783e-15,4.51186694494638e-15
ENSG00000175906,15.9943909167702,0.947769799241916,0.121792755788119,2.62452955256634e-15,4.58933388544119e-15
ENSG00000131495,75.0654149542969,0.515524098010271,0.0651345237924498,2.63212867840908e-15,4.60214647542084e-15
ENSG00000176410,43.4983090098803,0.544310823488286,0.0693232205796756,2.64913350581362e-15,4.63140012249722e-15
ENSG00000102119,133.984988732839,0.401245988100408,0.0509140554715938,2.65267178134678e-15,4.63710699228406e-15
ENSG00000285641,7.3106711066106,1.24114374251355,0.160438410601456,2.66630315950693e-15,4.66045450528295e-15
ENSG00000109756,88.2546075902372,-0.585431081069413,0.0742456618123915,2.67980838303215e-15,4.68357671239354e-15
ENSG00000070366,119.144285885018,-0.396493382945369,0.0502962962041796,2.68372219533376e-15,4.68993269551099e-15
ENSG00000004961,41.9884203932849,-0.359430131735809,0.0452184995291971,2.7181747205229e-15,4.74964971555338e-15
ENSG00000139154,58.1784980183742,0.500017570753338,0.0632958300556476,2.72291430377597e-15,4.75744034184043e-15
ENSG00000140830,34.559735760922,0.428245896079705,0.0544152260317736,2.75195590778687e-15,4.8076851506289e-15
ENSG00000130775,75.2657951220765,0.871762857355392,0.111106974439582,2.79282264723009e-15,4.87857604545043e-15
ENSG00000161618,112.429150357434,0.579783812234898,0.0735997068125173,2.81646522435384e-15,4.91936779382752e-15
ENSG00000213199,5.64544122690973,1.09605518702378,0.140941390607581,2.87111089724959e-15,5.01377960544256e-15
ENSG00000070961,120.322932562077,0.857171760366989,0.109361490371587,2.87096290301106e-15,5.01377960544256e-15
ENSG00000145623,88.921274666505,1.25788894013035,0.162117956962168,2.89382209824958e-15,5.05291849921325e-15
ENSG00000115648,574.364762813991,-1.0064698915326,0.128682310806547,3.04236334555459e-15,5.31173918129889e-15
ENSG00000237807,6.85863233170312,1.68805216037728,0.222761659818823,3.08893565911858e-15,5.39249469113791e-15
ENSG00000042286,65.8182378893487,-0.624974109651742,0.0795092416721506,3.10820444221777e-15,5.42557345137538e-15
ENSG00000173320,14.7544518389796,-1.2137905067449,0.154724973247887,3.15906499313477e-15,5.5137851922044e-15
ENSG00000135776,32.2731672228455,-0.595025961641385,0.0755312007762767,3.16656689346947e-15,5.52630899896584e-15
ENSG00000246283,3.68984791067118,0.993339591867024,0.127562848358216,3.17591042968165e-15,5.5420439243594e-15
ENSG00000138030,16.0583978869993,0.738000326389222,0.0941857334879633,3.224881268665e-15,5.62691912084074e-15
ENSG00000147813,107.901159045471,0.776948033378783,0.0994260639526529,3.27175937841527e-15,5.70812570659504e-15
ENSG00000196497,188.609058706437,0.54934582298495,0.0701931821377246,3.28822789721744e-15,5.7362664564425e-15
ENSG00000075223,172.936153134202,-1.09594965605645,0.140752570862149,3.30842806120094e-15,5.77091053651715e-15
ENSG00000079462,75.1380002940664,0.620602268483725,0.0794665095833734,3.3357925363033e-15,5.81804293867822e-15
ENSG00000141524,198.230416734032,0.876781222842076,0.112414871801153,3.35581471200071e-15,5.8523610510677e-15
ENSG00000183155,53.1073497711849,-0.478119970420235,0.06074706409271,3.35644502139131e-15,5.85285720039645e-15
ENSG00000279267,11.4619794400307,1.08011779355907,0.139216747325417,3.5130104083703e-15,6.12523963754685e-15
ENSG00000107262,103.77296614456,0.422103706666338,0.0538091649970369,3.59143107526644e-15,6.26132786865311e-15
ENSG00000234420,52.3277856312736,-0.803593904449099,0.102050085991197,3.6447294804164e-15,6.35293990278554e-15
ENSG00000104626,33.756790788827,-0.479946377756543,0.061256732067664,3.64461650346591e-15,6.35293990278554e-15
ENSG00000073756,7.74570092136592,1.63924659785216,0.215827533867869,3.65041495303447e-15,6.36219473587771e-15
ENSG00000108344,295.915380562795,0.343209439771795,0.0437365330106278,3.67752120386235e-15,6.40877742744751e-15
ENSG00000066827,39.6818789157359,-0.55650397867922,0.070727654495855,3.69126620350974e-15,6.43206841289018e-15
ENSG00000196605,13.9444677585226,0.564632759385077,0.0720447396405601,3.78424898832072e-15,6.59341302525512e-15
ENSG00000162086,31.0712891059895,-0.501728536147543,0.0633663586130159,3.79349054602953e-15,6.60883453335562e-15
ENSG00000170448,13.7557629549645,-0.556164254196349,0.0707586491801348,3.79630258241686e-15,6.61305282085276e-15
ENSG00000171617,125.252021769007,-0.90653076019663,0.116219834533552,3.82763113460891e-15,6.66694010016011e-15
ENSG00000182612,462.220837167797,1.43701042106042,0.188184058225932,3.87988701189139e-15,6.75726360117944e-15
ENSG00000235961,25.2046305461749,1.44043523834591,0.188928706595798,3.94680193141858e-15,6.87309627423186e-15
ENSG00000149489,6.99054753660035,0.713999167289537,0.0914573434362404,3.97702360141264e-15,6.92484724216553e-15
ENSG00000100897,174.277904685941,-0.368029593882932,0.0469470845562189,3.97733766860213e-15,6.92484724216553e-15
ENSG00000117115,21.4985125040597,0.88258665681364,0.184996564900389,4.01076073999448e-15,6.98232107842075e-15
ENSG00000214135,32.6816642098072,-0.623495294155908,0.0797009426254472,4.03715496750687e-15,7.02754785817688e-15
ENSG00000162545,73.8757928147428,1.13751530824127,0.147942880825572,4.17679080909704e-15,7.26986676717064e-15
ENSG00000198064,21.8202981291541,2.30373734541248,0.309172710178077,4.17964203874285e-15,7.27408138876327e-15
ENSG00000172115,300.597075191567,0.554940964396836,0.0711357658184988,4.2298912567209e-15,7.36077622044019e-15
ENSG00000139637,92.4098777140464,0.463235005404808,0.0592810301851018,4.25728138344828e-15,7.40767836073426e-15
ENSG00000136560,45.1897931623276,-0.565699637245944,0.0720919376987659,4.44364900527301e-15,7.73116359110255e-15
ENSG00000104231,32.2964801085038,-0.602593021577102,0.0768484053491663,4.48741868934226e-15,7.80651262381723e-15
ENSG00000176476,25.9392342262206,0.580021202302327,0.0739383166681334,4.49035249929018e-15,7.81081357147855e-15
ENSG00000163126,8.31658069621122,-0.844028372713163,0.108130517072868,4.50122262749845e-15,7.82891716888411e-15
ENSG00000213762,37.8167730930879,-0.442599746085361,0.0563985880530381,4.51627846879836e-15,7.85429645339213e-15
ENSG00000185504,111.581453818459,0.524060360867537,0.0672462141010669,4.56552275924994e-15,7.93912182269652e-15
ENSG00000104365,117.017613733975,-0.449255597187008,0.0572954962057158,4.58874869358196e-15,7.97869032657435e-15
ENSG00000167700,42.6514940311627,0.778936048579209,0.100639401890662,4.67025765232749e-15,8.11957994510969e-15
ENSG00000101246,87.0486926012866,0.458360367883472,0.0584869738711897,4.67630731272587e-15,8.12926266103999e-15
ENSG00000082146,149.728945377763,-0.687297123663179,0.0884255037136777,4.72740072730202e-15,8.21723911980967e-15
ENSG00000134852,85.315591772801,-0.594536272693755,0.0761382275119965,5.03685247300697e-15,8.75423373440572e-15
ENSG00000117983,7.85359231201901,1.92830235820412,0.259039797607192,5.33324850756037e-15,9.2676573611214e-15
ENSG00000103042,122.230201696318,-0.418499498080246,0.0538018239419585,5.33335200575022e-15,9.2676573611214e-15
ENSG00000162542,40.6255706375886,0.582320234709135,0.0748110189296845,5.36971919516104e-15,9.32989399220826e-15
ENSG00000136856,48.7945683601062,0.728189034760866,0.0936165274778599,5.38213705726773e-15,9.35051013080028e-15
ENSG00000267040,17.908749442371,0.674116444650294,0.0867137679687342,5.5132301555424e-15,9.57727808504107e-15
ENSG00000138780,26.2822971480878,-0.520114805471387,0.0666487217796883,5.51428675629875e-15,9.57813047520077e-15
ENSG00000110651,1532.82995530074,0.570515989968015,0.0734117136206283,5.54681532289686e-15,9.63364282606767e-15
ENSG00000198055,125.849346594245,0.568683788083104,0.072947335594501,5.55198157261784e-15,9.64162611497609e-15
ENSG00000151665,48.8094211888901,-0.48220058039219,0.0619395409121738,5.59148903775726e-15,9.7087030685536e-15
ENSG00000152503,6.54418602675861,-0.794335855395269,0.102265952736529,5.59175406276281e-15,9.7087030685536e-15
ENSG00000069667,13.0434474327905,1.06103257875725,0.136610568068489,5.65993143354334e-15,9.82606826471648e-15
ENSG00000141002,315.009496364659,-0.385451667819656,0.0494480896156136,5.68800640843003e-15,9.87379573976188e-15
ENSG00000137842,26.6779713965372,-0.500086417151436,0.0640637608849713,5.79766995911337e-15,1.00631283004814e-14
ENSG00000242612,39.7653544302674,0.561336305082033,0.0722992588225492,5.85491115850366e-15,1.01614408693267e-14
ENSG00000197989,35.7735122369329,-0.627766495418269,0.0805359774262719,5.86224188340005e-15,1.0173120463093e-14
ENSG00000160908,94.1794300665163,0.370464682096631,0.0474715589737765,6.00454303212258e-15,1.04189963931387e-14
ENSG00000065057,37.2726930113666,0.56946739419822,0.0732995245918687,6.1275248381627e-15,1.06313027048594e-14
