HGNC ID	Status	Approved symbol	Alias symbol	Previous symbol	Ensembl gene ID
HGNC:880	Approved	ALDH7A1P3		ATQL3	ENSG00000243853
HGNC:881	Approved	ALDH7A1P4		ATQL4	ENSG00000234489
HGNC:415	Approved	ALDOAP1			ENSG00000242849
HGNC:416	Approved	ALDOAP2			ENSG00000214297
HGNC:44372	Approved	ALG1L3P			ENSG00000251087
HGNC:44374	Approved	ALG1L5P			ENSG00000226943
HGNC:44375	Approved	ALG1L6P			ENSG00000238278
HGNC:44376	Approved	ALG1L7P			ENSG00000251271
HGNC:44377	Approved	ALG1L8P			ENSG00000227620
HGNC:44378	Approved	ALG1L9P			ENSG00000254978
HGNC:44379	Approved	ALG1L10P			ENSG00000254016
HGNC:44380	Approved	ALG1L11P			ENSG00000249889
HGNC:44381	Approved	ALG1L12P			ENSG00000250794
HGNC:44382	Approved	ALG1L13P			ENSG00000253981
HGNC:44383	Approved	ALG1L14P			ENSG00000250268
HGNC:44384	Approved	ALG1L15P			ENSG00000242017
HGNC:45159	Approved	ALG3P1			ENSG00000251568
HGNC:29586	Approved	ALMS1P1		ALMS1L	ENSG00000163016
HGNC:29586	Approved	ALMS1P1		ALMS1P	ENSG00000163016
HGNC:431	Approved	ALOX12P1		ALOX12P	ENSG00000264958
HGNC:432	Approved	ALOX12P2			ENSG00000262943
HGNC:13742	Approved	ALOX15P1		ALOX15P	ENSG00000274114
HGNC:39027	Approved	ALOX15P2			ENSG00000188101
HGNC:44238	Approved	ALOXE3P1			ENSG00000275011
HGNC:14016	Approved	ALPPP			
HGNC:44898	Approved	AMD1P1			ENSG00000228339
HGNC:460	Approved	AMD1P2	AMDPX	AMD2	ENSG00000237801
HGNC:460	Approved	AMD1P2	AMDPX	AMD	ENSG00000237801
HGNC:460	Approved	AMD1P2	AMDPX	AMDP1	ENSG00000237801
HGNC:460	Approved	AMD1P2	AMDPY	AMD2	ENSG00000237801
HGNC:460	Approved	AMD1P2	AMDPY	AMD	ENSG00000237801
HGNC:460	Approved	AMD1P2	AMDPY	AMDP1	ENSG00000237801
HGNC:51608	Approved	AMD1P3			ENSG00000249286
HGNC:51609	Approved	AMD1P4			ENSG00000215124
HGNC:39809	Approved	AMMECR1LP1			ENSG00000233273
HGNC:479	Approved	AMYP1		AMY2P	ENSG00000227408
HGNC:26491	Approved	AMZ2P1	FLJ32065		ENSG00000214174
HGNC:38072	Approved	AMZ2P2			ENSG00000219249
HGNC:54911	Approved	AMZ2P3			ENSG00000233807
HGNC:44150	Approved	ANAPC1P1			ENSG00000233673
HGNC:54708	Approved	ANAPC1P2			ENSG00000231259
HGNC:54709	Approved	ANAPC1P3			ENSG00000230395
HGNC:54710	Approved	ANAPC1P4			ENSG00000234231
HGNC:54711	Approved	ANAPC1P5			ENSG00000275597
HGNC:54712	Approved	ANAPC1P6			ENSG00000235486
HGNC:33976	Approved	ANAPC10P1		ANAPC10P	ENSG00000213735
HGNC:54888	Approved	ANAPC15P1			ENSG00000231619
HGNC:54889	Approved	ANAPC15P2			ENSG00000232601
HGNC:54737	Approved	ANKRD11P1			ENSG00000234429
HGNC:54738	Approved	ANKRD11P2			ENSG00000231686
HGNC:43601	Approved	ANKRD18CP			ENSG00000159712
HGNC:28016	Approved	ANKRD18DP			ENSG00000226435
HGNC:43609	Approved	ANKRD18EP			ENSG00000217165
HGNC:22567	Approved	ANKRD19P	FLJ36178	ANKRD19	ENSG00000187984
HGNC:31979	Approved	ANKRD20A2P		ANKRD20A2	ENSG00000183148
HGNC:31981	Approved	ANKRD20A3P		ANKRD20A3	ENSG00000276203
HGNC:31982	Approved	ANKRD20A4P	OTTHUMG00000066855	ANKRD20A4	ENSG00000172014
HGNC:33833	Approved	ANKRD20A5P	MGC26718	ANKRD20A5	ENSG00000186481
HGNC:37714	Approved	ANKRD20A6P			ENSG00000274502
HGNC:31980	Approved	ANKRD20A7P			ENSG00000236816
HGNC:23666	Approved	ANKRD20A8P		ANKRD20B	ENSG00000229089
HGNC:42023	Approved	ANKRD20A9P			ENSG00000206192
HGNC:39707	Approved	ANKRD20A10P		ANKRD20A4P1	ENSG00000226695
HGNC:42024	Approved	ANKRD20A11P		C21orf81	ENSG00000215559
HGNC:43603	Approved	ANKRD20A12P			
HGNC:43604	Approved	ANKRD20A13P			
HGNC:43605	Approved	ANKRD20A14P			
HGNC:43606	Approved	ANKRD20A15P			
HGNC:43607	Approved	ANKRD20A16P			
HGNC:43608	Approved	ANKRD20A17P			ENSG00000251056
HGNC:23756	Approved	ANKRD20A18P		C21orf126	ENSG00000249493
HGNC:42737	Approved	ANKRD20A19P			ENSG00000196593
HGNC:32319	Approved	ANKRD20A20P		CCDC29	
HGNC:52329	Approved	ANKRD20A21P			ENSG00000277112
HGNC:32955	Approved	ANKRD26P1	FLJ43980		ENSG00000261239
HGNC:39687	Approved	ANKRD26P2			ENSG00000235550
HGNC:39689	Approved	ANKRD26P3		LINC00414	ENSG00000237636
HGNC:39690	Approved	ANKRD26P4			ENSG00000229427
HGNC:19722	Approved	ANKRD30BP1	PRED4	C21orf110	ENSG00000175302
HGNC:19722	Approved	ANKRD30BP1	PRED4	ANKRD30BP	ENSG00000175302
HGNC:16620	Approved	ANKRD30BP2	CT85	C21orf99	ENSG00000224309
HGNC:16620	Approved	ANKRD30BP2	CTSP-1	C21orf99	ENSG00000224309
HGNC:27873	Approved	ANKRD30BP3			ENSG00000230501
